Drug Name,Drug ID,Strength,Pack Size,Price,Expiry Date,Batch Number,Manufacture Date,Country of Origin,Drug Interactions,Patient Age Group,Patient Gender,Patient Weight,Geographic Region,Sales Volume,Manufacturer,Generic Drug Name,Route of Adminstration,Storage Conditions,Prescription Required,Therapeutic Class,Dosage Form,Adverse Reactions
Crocin,4838542b-fc72-4446-82c4-6bb7799a322d,778,24,91.01,2024-04-01,7cd35954-7804-407f-9bf1-eadcc96a094b,2020-12-14,India,Prepare husband poor politics.,Pediatric,Female,70,Hyderabad,10,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Dolo-650,e80eb5ba-d1aa-438d-b49e-054e8abfdd04,874,2,354.54,2028-07-27,105478a4-7803-4d29-9c4a-fe8b71ca265e,2024-02-07,Germany,Near base throw mention side.,Pediatric,Male,65,Delhi,42,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Cetrizine,13dba9c1-10c3-4eb7-aa69-1e70ff39c600,867,20,253.98,2029-03-04,b5a897cf-93da-4598-9b45-66aedb57cedc,2020-11-03,Germany,North determine certain camera less.,Elderly,Female,86,Surat,96,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Dolo-650,bdf85fbd-813b-4464-bb4a-aff08903ae27,929,20,329.79,2027-08-24,7bd16431-f9d5-4fbf-bff1-2bf827321b78,2019-11-05,India,Expert impact either.,Pediatric,Male,62,Surat,28,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Combiflam,d4164d59-43c0-4387-b55a-ed667e50f5d6,574,33,130.35,2028-04-18,f659e431-cfa5-408b-8d4c-6ac1d5d564b6,2021-07-29,Switzerland,Ahead community parent use.,Pediatric,Male,72,Ahmedabad,13,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Dolo-650,a835e3b5-bca8-404c-b5e7-9657d654ee9c,999,8,349.19,2025-06-03,cc909ead-2067-4d4e-a5a5-35629e3ef7de,2020-01-27,Switzerland,These that enter ok remain.,Pediatric,Female,69,Surat,23,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Amoxyclav,2e3dbadb-c2b0-4714-aa5e-fe96cc17ae0f,356,45,294.84,2028-06-27,86fba52f-1978-4f1b-bc47-203994ec0de0,2021-09-05,Germany,Statement year ever seven Mrs teach career green.,Adult,Female,62,Delhi,99,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Omez,3a750f5f-4763-4002-b556-85dd2ae9016d,917,32,290.78,2028-07-31,ff9016bc-374c-42cd-981b-20fd470224ac,2020-07-18,Switzerland,Note note physical after return rule no.,Adult,Female,71,Ahmedabad,28,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Cetrizine,daccea15-be1b-4fd4-844a-8ea2d38deeed,375,42,292.66,2027-11-23,2315c68f-05c7-4dd2-9ca9-502a97940dfe,2020-04-16,Switzerland,Report none set personal challenge read start.,Pediatric,Male,83,Jaipur,33,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Cetrizine,4a39a208-45f6-4e89-8685-d45930d21abb,460,30,415.11,2028-09-12,4ce0af70-f124-48d5-9b4f-f5ef8ea4a589,2019-11-16,United States,Fall above cultural reduce production determine wall.,Elderly,Male,93,Chennai,44,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Omez,4c494c8a-aa6b-462d-b40f-6176e15a740d,645,27,34.72,2028-01-20,e3631e14-a987-4f7b-bef7-0dc566f28736,2020-06-27,Germany,Wide if time approach.,Adult,Female,76,Delhi,46,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Combiflam,0b3353f5-e811-4de7-ac53-fc8f5d275258,735,27,15.73,2028-08-06,d89fc235-1076-4f8e-9f32-2df5ad0cff51,2023-07-24,Switzerland,Check difficult white sister.,Adult,Female,67,Hyderabad,7,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Atorva,e9dbb5a2-3458-4d1f-ba2e-d94dce378810,121,23,366.71,2025-03-21,3af95d97-28f3-4cc6-ac26-8ae7001cfb6f,2023-12-03,Germany,Tell environmental leave wife blue compare.,Adult,Male,66,Delhi,56,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Azee,21b1327e-80b7-4dda-a799-29e45909c539,933,23,116.62,2026-01-21,88a2915e-4a0c-48e8-b0bf-58eb8907eb52,2019-09-21,India,Art agent which manager doctor region.,Pediatric,Male,88,Hyderabad,66,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Pantocid,4d129404-a883-41a3-a486-1fd6c2c6c85d,447,35,332.97,2028-05-16,00eddd59-40cd-444b-a363-2b35eb933e5f,2022-05-13,Switzerland,Discover behavior world lay contain tonight.,Elderly,Male,77,Bangalore,71,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Dolo-650,4272cfd9-96df-4779-abc7-b847a4c92543,70,28,250.22,2029-02-14,4d20e2e9-d5e2-4e85-8ad8-d18be1d315fd,2020-05-28,United States,Child road nothing hundred.,Elderly,Male,92,Pune,24,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Cetrizine,7562efba-3c35-4783-8524-d9609b8cf293,495,34,339.98,2026-04-01,b87b2853-a5e8-4d2e-ad7c-7623986e2a70,2021-01-28,United States,Make west near reflect trial.,Adult,Male,92,Kolkata,56,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Cetrizine,958470a1-f954-471e-b754-99764e46fbdc,430,49,162.51,2029-03-14,2682d49b-7361-42e0-955d-5e890adf35cf,2019-07-28,Germany,Interesting teacher community your food main gun.,Adult,Male,62,Surat,74,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Atorva,37f08aad-8af2-4bda-a4eb-8b9689f49f0e,537,22,116.54,2028-04-30,f1110586-ffb1-404b-a02f-d2a19ab52bd1,2019-10-31,India,Production always quickly same fish.,Pediatric,Male,99,Chennai,14,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Dolo-650,0dbf7d26-024f-4d48-8ae5-45b5c0f43546,954,8,386.1,2024-09-29,4b2ffa7a-c1f8-42bf-988d-40f81001ce9a,2020-02-29,Germany,Tree half seem along anything generation mother.,Adult,Female,89,Mumbai,63,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Amoxyclav,3c9d8dfb-2b26-46f8-b07b-029d1882ce58,976,12,458.72,2024-07-07,8637076c-a80d-4884-a5ff-bd42105a6ebd,2022-05-14,India,Responsibility in take example rich.,Elderly,Male,100,Jaipur,81,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Cetrizine,98fc30b3-6acc-4d17-9605-7c98ebe72f9e,516,30,398.01,2024-04-25,f84f2e2a-9428-44f3-8c7e-d64ef923c675,2021-08-24,Switzerland,Personal green must yeah.,Adult,Female,58,Delhi,63,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Pantocid,2eb9a656-987c-435c-acb6-8df66072f895,810,28,53.61,2027-02-25,ac79537b-df32-465c-89b8-288962c0ee22,2022-09-29,Switzerland,Agent why stay church fire itself.,Elderly,Female,99,Delhi,55,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Pantocid,182de837-54d3-4344-b393-0bd6959c1694,23,24,440.5,2024-04-05,4c7ab320-d8ee-404a-82a1-61688d43ad25,2023-09-26,India,Baby sure citizen write.,Adult,Male,94,Bangalore,98,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Amoxyclav,34f8bbc4-4d24-4244-9ef2-4bcd3f9fc961,171,12,364.35,2026-01-12,de64ed65-1983-4301-99c8-cbcc06950263,2020-03-20,United States,Land black establish political court.,Pediatric,Male,68,Bangalore,72,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Azee,a2f13746-4ee0-4216-8c16-9e52ff6c7541,614,36,192.66,2024-03-16,47dd7e7b-e402-44d8-a3a8-d8ad22eeb0d4,2022-05-19,Switzerland,Civil generation fly clear myself although property agreement.,Elderly,Male,62,Hyderabad,83,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Cetrizine,ed011823-1baa-41b1-9416-cb0923b4f365,281,39,486.69,2025-12-05,590ee4c2-67e7-45bf-832a-43a3b9e077f0,2021-02-28,United States,Director scientist movie remain white difficult.,Adult,Female,93,Bangalore,19,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Pantocid,54ea4817-3ad6-4982-93a2-2b18bfdb3b4b,714,11,461.27,2029-01-30,9d143db9-2da1-4e61-956c-e387934ed7fb,2019-07-22,Switzerland,Result network north heart.,Elderly,Male,93,Surat,80,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Azee,a210e4dd-a1bc-47b8-ae86-2372c1cf55f2,991,35,31.9,2027-03-07,54794894-23e1-4481-96e8-c3d603de04c3,2019-12-02,United States,Push memory read agree the where.,Elderly,Female,73,Surat,27,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Combiflam,45709485-2d42-476f-a3b0-774c579126f2,133,28,125.99,2025-12-28,090ac954-a5ee-4786-b286-18602b69ab8e,2021-04-07,Germany,Charge back participant card gun up.,Adult,Female,95,Kolkata,68,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Ciplox,03a313a3-18d7-4a33-a763-5477aec35dbd,297,25,19.67,2026-07-25,36c65255-7e6b-425d-846d-ad11a4d32175,2021-07-29,India,Personal mother phone eat.,Adult,Female,84,Ahmedabad,34,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Atorva,43611ae4-b0a7-4dfc-9a91-87c8d9b5cbf7,47,19,375.22,2028-02-17,dd147feb-0264-4a92-9c29-367cd981de8a,2023-09-05,India,Resource cell trade national last red.,Pediatric,Female,85,Hyderabad,38,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Atorva,b942f66e-ecb4-4cda-a8f6-eea561953333,979,43,221.32,2028-07-09,5e65cee3-aa52-4f6e-a5f6-f9b1d16b86c2,2021-07-23,Switzerland,Home who might help stuff spring Democrat season.,Adult,Female,70,Mumbai,96,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Dolo-650,5eed7d6d-6d9b-44b1-aa5d-8b5b881b6af2,580,45,187.79,2027-12-30,1a1b84e9-6e76-4141-b8c3-be39142fde81,2021-04-23,Switzerland,Also wear meet Mrs break certainly most.,Adult,Male,63,Hyderabad,6,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Azee,b5c027aa-e5f2-45c1-92d4-94f5da660468,63,44,316.02,2027-03-02,49d2a382-856f-429d-97b5-8fe7dcfc57dd,2022-03-02,United States,Not those discussion natural anything test body.,Adult,Female,79,Pune,15,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Azee,1441ae58-4558-409a-9506-8feb021e1a05,814,28,15.7,2024-07-29,acde9f46-928b-4cfc-ac2a-cf00d281d511,2020-04-28,Germany,She however yes recently beautiful.,Elderly,Female,87,Pune,31,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Atorva,47ab2979-2143-40cf-a225-b927c63ef0f4,996,41,87.86,2025-09-18,aa68e982-b313-4a0b-9d7f-4d0ffa1ded44,2022-12-29,Switzerland,Animal court service any yard.,Adult,Male,83,Delhi,39,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Omez,3927a77b-9cdc-4d84-bb88-db6e2cf0db64,711,19,54.72,2025-10-06,6e8ac0b8-c14a-496e-908c-d9dd961beb46,2022-05-18,Switzerland,Explain send wish statement both hit defense.,Elderly,Male,61,Surat,71,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Amoxyclav,93f95b04-beb6-484f-93ce-43710c263b05,195,45,225.31,2026-08-07,b696538b-6fdd-46c9-b993-e978d4997634,2022-02-13,Germany,Husband his west analysis body test.,Pediatric,Male,57,Pune,1,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Atorva,da4c4281-e5c9-4ff6-86e7-a66186cc8dcc,759,40,67.48,2026-02-18,f16b121f-f137-4db5-92c5-fecee0187ef2,2019-04-17,India,Leg many trouble nature.,Elderly,Male,96,Kolkata,68,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Dolo-650,0483ca17-35c3-43f1-aa5b-0ebe68f1fac6,835,7,319.06,2026-12-03,026dbd01-233c-426e-8b1c-7a2de2f57423,2019-12-13,Germany,People end help lawyer game.,Adult,Female,96,Bangalore,58,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Azee,cf299b20-9359-42fe-a467-f2d255e6b2ab,408,6,278.68,2027-07-01,ce92167d-9ca0-4655-b4aa-3dbec1ae0f85,2022-04-13,United States,Little local around party our.,Elderly,Male,68,Kolkata,100,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Crocin,dc6d83ac-d59e-4ccb-b374-5ff99335d9cf,507,7,98.66,2028-03-24,364c3766-ac80-4cb5-a01e-837c4565f1f3,2019-08-02,India,List population now account discuss one sea whose.,Adult,Female,90,Jaipur,25,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Atorva,0c60eca1-8a5f-465f-b2a0-dd771a3610b2,702,6,246.06,2027-12-23,f5025436-7555-496c-a521-c04d5b012ad4,2021-12-14,India,Treatment weight full short offer throw.,Pediatric,Male,65,Ahmedabad,44,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Atorva,39dda79c-b7f1-416a-a4b3-e96b469821dd,546,42,339.75,2024-09-09,6976c04b-4d00-44fe-ba61-02760690fbd0,2022-08-10,India,Develop bar purpose teacher present generation mean.,Adult,Female,63,Jaipur,39,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Combiflam,84d01a9b-002a-4e4a-a886-fbf264110421,892,2,113.52,2025-12-10,7e210def-14dc-46d1-86c9-d27963ed2759,2019-06-10,India,Spend professional matter per agree.,Adult,Female,88,Delhi,31,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Pantocid,444cd91f-834c-4fad-a9d2-5b19edbf7be5,1581,40,1107.0,2028-07-30,58c5464e-883b-45ea-900e-be8be5a29644,2022-02-16,India,Nothing offer happy conference Congress college.,Elderly,Male,100,Kolkata,62,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Amoxyclav,ab700b12-a6c4-4343-b31d-0d2c0523e2eb,995,27,217.6,2027-03-14,5e6e9889-ac9e-47f9-996a-70d4e18c076c,2020-09-07,Germany,Air five machine his large.,Pediatric,Male,90,Ahmedabad,86,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Omez,5ebf82ee-a343-4041-9090-5a6bc505eaf1,77,7,264.74,2028-10-01,e8777742-2961-4c18-84bd-58b6937ecdce,2020-08-14,Switzerland,Put fact market we should else.,Elderly,Male,71,Surat,71,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Dolo-650,fa3f5573-6dfe-4686-baef-9f6063ea9445,170,32,395.21,2026-11-19,0a35992d-626a-48fe-916e-4df5b7572702,2023-07-29,Switzerland,Hair evening us purpose brother.,Pediatric,Female,61,Ahmedabad,95,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Omez,3aac7456-6c16-4718-b710-47235841c5cd,449,48,43.92,2026-10-16,d1ad3942-1d19-4a18-a238-fddd9e1253b9,2019-06-19,Switzerland,Pattern effect whole soon rich ago list.,Pediatric,Male,91,Pune,68,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Dolo-650,e3912957-31b6-4faa-8d87-9755cf948c01,769,49,13.1,2025-04-04,008eadbd-98cc-4cef-a648-437946ad0013,2020-10-12,India,Nice forward particular myself.,Pediatric,Male,81,Hyderabad,18,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Pantocid,839c0c8a-7d5a-4a3e-a699-4f40a75cecbd,522,40,479.96,2025-06-17,548af579-2b19-4b22-bbd5-adf409a30e01,2021-02-24,India,Product even her civil possible effort.,Adult,Male,73,Hyderabad,53,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Atorva,83e6b4ba-1332-4a66-97d5-67fdc1bbd247,394,35,49.01,2025-02-22,2af2862d-db59-4651-8559-83e9edb939ff,2020-02-12,Switzerland,Drive state lose throughout drug such.,Pediatric,Female,65,Kolkata,6,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Azee,7d4e14e1-d593-4389-9f32-e26edb07ac1a,576,7,17.59,2024-09-21,0f202ec4-ac92-4e0d-a54d-7edf62c86430,2023-04-29,United States,Remember green suffer seek ready.,Pediatric,Female,75,Mumbai,28,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Pantocid,566fd772-a259-48b2-9604-fd84ddd325b0,799,41,71.14,2029-02-03,95f90317-9699-4a48-a242-0ff79b986bd2,2019-12-15,Germany,Choose party activity less hand table.,Elderly,Female,80,Mumbai,30,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Azee,c5558c85-280b-45bb-9fa4-5f7e43b7a96f,400,29,3.61,2028-08-02,9e0dafc6-24ea-408e-bbb7-7c6e5c62b6b7,2019-10-01,United States,Recognize successful end five physical possible everyone.,Elderly,Female,95,Ahmedabad,83,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Pantocid,dc156856-358c-4cc7-8d04-04833bea0aa6,411,33,387.42,2024-09-07,a8e45637-3910-4824-9991-22f473ac1f96,2020-01-08,India,Wrong particularly support case interesting house term beyond.,Adult,Male,67,Kolkata,48,Sun Pharmaceutical Industries Ltd.,Pantoprazole,Topical,cold,no,Antibiotics,Capsule,Drug Interactions
Atorva,710ccea6-58a2-47f8-808f-46e9412dcd31,622,38,284.58,2026-01-14,964670b8-084c-4fda-900e-5b11593e6879,2020-03-29,India,Ever billion onto fly.,Pediatric,Male,86,Mumbai,79,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Omez,e5a6189f-3fe5-422a-8acf-f3d5f9d28fb0,279,3,432.38,2024-10-15,85c76d1f-d664-41c9-990c-180c0996d3f2,2023-05-09,Switzerland,Send first factor beat parent student cut.,Adult,Female,79,Jaipur,93,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Amoxyclav,3b8739ed-d788-4092-a637-b8bf96f74cc4,212,43,171.01,2028-03-02,db681a8e-9a02-4e15-8566-72110ff434da,2023-11-07,India,Pretty prepare this short.,Adult,Female,84,Hyderabad,16,GlaxoSmithKline Pharmaceuticals Limited,Amoxicillin + Clavulanic Acid,Oral,cold,yes,Blood pressure medications,Liquid,Drowsiness
Azee,a659b1d3-eeed-48b6-8820-e88de56b3734,189,19,341.5,2024-03-18,f1a04f55-43c5-4d6e-8149-635e6e093725,2023-01-30,United States,Enter read board direction discover raise.,Adult,Male,71,Mumbai,7,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Combiflam,9bc30395-c89f-47be-9141-3952509d19cc,4,27,478.91,2028-02-15,1b6d0905-63d5-4e4d-808e-cd338aff4933,2019-04-05,Germany,Trip prove thus sell.,Adult,Female,59,Hyderabad,14,Sanofi India Limited,Ibuprofen + Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Ciplox,ff13c068-ae80-4cd4-82e6-8a0fb93ebf79,164,14,364.41,2026-07-29,56613fbe-ee01-4764-85c6-5e93f907c84f,2019-10-19,Germany,Stage break first vote show one argue.,Elderly,Male,66,Hyderabad,86,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Dolo-650,950cb394-7eac-42e4-ac46-25873374fa37,586,15,264.55,2025-09-13,12c3b390-a858-4a03-90b1-fb362ecfebd9,2023-01-11,Switzerland,Again question close sort leader.,Pediatric,Female,88,Pune,48,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Azee,b9d00a79-67bd-46ba-b167-e8ed86a8f05c,224,50,95.88,2028-12-02,8256bc3c-380c-40a2-93fd-e4ad4a45e7c5,2019-09-11,Germany,Eye style fund air particular dream.,Elderly,Female,54,Mumbai,58,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Cetrizine,a80f1a66-6719-4a5a-9fdb-35e28f1914aa,607,30,104.53,2024-08-10,d0a333e4-892c-4b34-94da-3cb31f41264c,2023-09-18,Germany,Just per assume factor itself practice.,Pediatric,Female,66,Hyderabad,89,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Dolo-650,ddbf0cc1-2893-4c93-822d-1583afcf9bff,714,36,413.96,2028-11-09,372ff3ce-9034-4bd3-87d1-9833f09e115c,2021-06-17,Germany,Military century adult actually whom.,Adult,Male,57,Ahmedabad,89,Micro Labs Limited,Paracetamol,Oral,normal,yes,Pain relievers,Tablet,Allergic Reactions
Cetrizine,192fa1c1-0042-474b-924d-20e156b27dda,10,25,250.92,2028-12-11,a2047ea9-e871-43b5-b407-4a747212df4e,2020-04-03,Switzerland,Left occur picture ten film push.,Elderly,Female,74,Delhi,3,Sun Pharmaceutical Industries Ltd.,Cetirizine,Topical,cold,yes,Antibiotics,Capsule,Drug Interactions
Crocin,3ebafe57-2b23-49d4-a1bf-231a3d59b085,901,8,178.89,2024-11-30,fc47a9bb-8be8-414a-ba98-22ed50a58829,2022-03-07,United States,On like girl attorney mind something.,Pediatric,Male,85,Bangalore,78,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Crocin,9ff0d2cc-2d43-4f50-a71c-5a8126f7127f,951,13,449.98,2027-03-25,702bef22-503a-4aa5-a768-5ccb0dff53f8,2022-08-13,United States,What will give case customer guess.,Pediatric,Male,75,Delhi,7,GlaxoSmithKline Pharmaceuticals Limited,Paracetamol,Oral,normal,no,Pain relievers,Tablet,Allergic Reactions
Omez,e1db5ed6-3884-44d6-91e2-a4873a555976,810,31,426.86,2025-05-27,83c03345-317b-48ee-a58e-626a749095c4,2020-02-19,Switzerland,Risk bad tend he avoid.,Elderly,Male,50,Jaipur,65,Dr. Reddy's Laboratories Ltd.,Omeprazole,Topical,dry,no,Blood pressure medications,Liquid,Drowsiness
Ciplox,18dbb5e9-17f3-42ac-ae9b-e3558b9c177d,526,8,401.0,2028-06-09,7cd5164d-5711-476e-a770-90bb053cb01a,2019-05-26,Germany,Industry too law radio morning not.,Pediatric,Female,54,Surat,48,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Azee,51964042-4a7a-41f0-bac4-d6f395414528,467,23,220.0,2028-08-27,115cc105-75ab-4a80-9e32-3f6cadfcf24a,2021-02-02,Switzerland,Lot people boy coach.,Pediatric,Female,62,Surat,73,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
Atorva,2bc11918-99e7-49b0-81be-49e49076434e,516,30,313.11,2028-11-30,a8bab473-5dd2-4ca2-9169-57c259c4b348,2023-10-24,India,Hour stop turn loss section past develop.,Pediatric,Male,66,Delhi,75,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Atorva,f3aad8ed-d745-4a97-bca4-90825edf6031,725,27,437.11,2029-01-16,2863971d-bbd7-4347-99f6-024240153c2e,2020-04-24,India,School mention conference seat.,Elderly,Male,81,Jaipur,91,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Atorva,7f572750-0483-48c6-a65e-d2e625725aa4,738,42,285.01,2028-08-19,b390c98a-c415-409d-bd2d-6f517d9ee9ad,2022-12-09,Germany,National go citizen painting.,Elderly,Male,79,Bangalore,9,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Ciplox,3d678c2f-4110-44d8-9610-9c5c78adfc07,538,46,64.47,2026-05-05,8538aa3c-2473-488e-b76b-d096e209a482,2020-07-16,India,South risk civil return easy.,Adult,Female,85,Ahmedabad,38,Cipla Ltd.,Ciprofloxacin,Injectable,cold,yes,Antidepressants,Capsule,Organ Toxicity
Atorva,b038b804-5f96-4a21-b3ab-a21f15707680,266,48,259.11,2026-11-06,2e85cc58-883c-4375-bce4-5b6f608ccb9d,2019-11-18,United States,Prepare move over.,Elderly,Female,87,Ahmedabad,37,Sun Pharmaceutical Industries Ltd.,Atorvastatin,Injectable,dry,no,Antidepressants,Tablet,Organ Toxicity
Azee,7238d3ba-9dde-44bb-a952-8b1b979b661b,311,26,51.36,2027-07-01,1e6ecb20-861d-419a-9cd6-711ab718225d,2021-03-24,Germany,Science involve this smile every central.,Elderly,Male,67,Surat,74,Cipla Ltd.,Azithromycin,Injectable,cold,yes,Pain relievers,Liquid,Drowsiness
